"region","model","run__id","type","version","unit","scenario","variable","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"World","IMAGE 3.2",1056,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Default-LowBiomass","Emissions|CO2",39975.46810259247,37048.95247732642,22594.88802288741,14014.47623825321,7129.294434241868,2653.70815046911,-732.2872569431992,-2080.191040228171,-2798.784525807821,-3065.865295688871,-3821.949910829221,-3842.362305036806,-4753.826172307166,-4877.711792435615,-5302.590373203408,-5219.096720852067,-5640.979574080525
"World","IMAGE 3.2",1057,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Lifestyle","Emissions|CO2",39729.87305048681,39336.69824576356,29063.36067972545,17387.52311355985,8746.976563295178,2997.141703560228,-1543.868754209362,-4700.842570414328,-4880.582642045251,-5828.984416220012,-6972.287516909886,-7217.870036463461,-7981.63688223602,-8793.583334132749,-8989.72404053079,-9207.821778180823,-8774.193685693486
"World","IMAGE 3.2",1058,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Lifestyle-Renewables","Emissions|CO2",39735.63086298733,40136.1031937529,29562.62174747918,17546.90315914726,8266.928793069246,1735.736196039956,-2316.20943217671,-6084.169556217169,-6542.612997014054,-7806.208903704447,-8611.34659909014,-8469.512126420997,-8244.166097754678,-9968.321208588502,-10224.37915132011,-9979.148438407195,-9618.499187072326
"World","IMAGE 3.2",1060,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Renewables","Emissions|CO2",39895.78971716856,39480.86914421417,31070.95735959546,20843.40478705111,11750.10099390673,5673.407552599097,1549.082295876503,-1924.096089855908,-4004.124878293698,-6115.116455634045,-7901.783936265218,-8802.91471434193,-9899.504965092665,-10427.16031995834,-11294.3636891778,-11362.15673931417,-11590.54638777244
"World","IMAGE 3.2",1061,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP1-SPA1-19-Renewables-LowBiomass","Emissions|CO2",39918.55957394146,37240.97624036471,22758.77620649606,13800.43099083792,6528.316488223692,1729.890096185909,-1614.048360335534,-3131.677531209177,-3835.997111351331,-4250.264201232741,-5119.634806780526,-4921.807129353687,-6284.596843019243,-6496.732219015091,-6714.862183227629,-6653.859538365313,-6751.763387658068
"World","IMAGE 3.2",1072,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP2-SPA1-19-Default-LowBiomass","Emissions|CO2",40025.03971718031,37462.88476903072,24949.76709211191,16812.67464345551,11035.70613707095,6176.764079337566,1701.291931307007,-159.9210853722043,-1593.312245831695,-1779.483978433256,-2595.876465079739,-2270.300903526703,-3102.617004676587,-2726.483785241352,-3628.395386072042,-3240.257548308892,-3695.622233408882
"World","IMAGE 3.2",1075,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP2-SPA2-19-Default","Emissions|CO2",40002.89290728246,39072.11100615618,32133.11979458786,19490.19531427184,10410.73372490476,4583.417480885424,135.9536565268451,-3532.219238602361,-6949.382040019783,-8764.642090640535,-10813.22379655594,-10540.16365655716,-12652.39461378042,-13184.845460183,-13990.63932418854,-14323.53971484381,-14727.1335462607
"World","IMAGE 3.2",1076,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP2-SPA2-19-Lifestyle","Emissions|CO2",39760.30566767707,39351.80176138994,34024.11002913477,20977.72151883415,8706.954753395708,3150.29911324212,-1994.908366066772,-6721.018351847981,-7961.381592520636,-7596.878581419792,-7869.810710350854,-6972.819255191184,-7240.570516608755,-7153.1241868482,-6836.939982717894,-6615.440552359216,-7006.384115220277
"World","IMAGE 3.2",1077,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP2-SPA2-19-Lifestyle-Renewables","Emissions|CO2",39956.36491248656,38081.88900085782,28393.72851820625,15053.03808730596,6120.579753160583,1744.510213374738,-1926.133748547499,-4491.461222739044,-4690.348795999312,-5386.366455567794,-6745.475179649683,-7417.358724632639,-7438.298828801208,-8371.054606880796,-9738.827800364514,-10364.21826266095,-10942.81486102084
"World","IMAGE 3.2",1078,"ANNUAL",1,"Mt CO2/yr","SSP2021-SSP2-SPA2-19-Renewables","Emissions|CO2",39951.41276404861,37535.26204768313,28536.40088150047,15630.70280090014,6911.552979143948,1651.98954279341,-2745.033976486528,-5324.274821447567,-6551.610921819559,-8392.644613393175,-10068.6559253945,-9585.88053472561,-11057.25854592708,-11541.13769636169,-12256.19677845795,-12174.69401152346,-13439.18733846133
"World","REMIND-MAgPIE 3.2.0-4.8.0",1437,"ANNUAL",1,"Mt CO2/yr","RESCUE-End-of-Century-Budget-500","Emissions|CO2",42797.7163014,41954.52423510001,44173.0846643,38482.4935264,25748.0818378,15190.6566771,9288.222652500002,5643.768905299999,1754.7419304,,-5821.0949735,,-14643.9648431,,-21544.21,,-22342.6537602
