"region","model","run__id","type","version","unit","scenario","variable","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"World","POLES-JRC ENGAGE",372,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1000f-COV","Emissions|CO2",38168.35546875,,,,,40831.70703125,34992.8125,28574.62109375,23664.9921875,19284.2578125,15084.4326171875,,7699.82568359375,,2255.771484375,,-1633.457763671875,,-4409.2548828125,,-5711.5458984375
"World","POLES-JRC ENGAGE",374,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1200f","Emissions|CO2",40820.3125,,,,,40921.171875,36747.0234375,31855.197265625,27097.8515625,22618.1640625,18533.8984375,,10393.8896484375,,4521.35986328125,,-78.14013671875,,-3314.1494140625,,-4698.5732421875
"World","POLES-JRC ENGAGE",375,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1400","Emissions|CO2",40820.3125,,,,,40921.171875,37512.53515625,33504.0625,29105.654296875,25129.966796875,20942.2265625,,12963.9326171875,,7094.662109375,,2444.977783203125,,861.4522094726562,,-129.55728149414062
"World","POLES-JRC ENGAGE",376,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1400f","Emissions|CO2",40820.3125,,,,,40921.171875,37665.1796875,33919.51171875,29685.1796875,25866.044921875,21683.8203125,,13601.7314453125,,7844.359375,,3097.10791015625,,-444.3679809570313,,-3074.361572265625
"World","POLES-JRC ENGAGE",377,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1600","Emissions|CO2",40820.3125,,,,,40921.171875,37512.53515625,34568.98828125,31434.78515625,28265.62109375,24449.8671875,,17900.541015625,,12023.46484375,,5775.09130859375,,2444.013916015625,,-230.19216918945312
"World","POLES-JRC ENGAGE",378,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1600f","Emissions|CO2",40820.3125,,,,,40921.171875,37512.53515625,34568.98828125,31434.78515625,28265.623046875,24449.8671875,,17900.541015625,,12023.4814453125,,5775.1064453125,,2290.65771484375,,-947.1605834960938
"World","POLES-JRC ENGAGE",379,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1800","Emissions|CO2",40820.3125,,,,,40921.171875,37512.53515625,35177.71875,32814.046875,29920.26171875,26842.09375,,20572.806640625,,16398.244140625,,11449.912109375,,4672.8173828125,,1138.9556884765625
"World","POLES-JRC ENGAGE",380,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-1800f","Emissions|CO2",40820.3125,,,,,40921.171875,37512.53515625,35177.71875,32814.046875,29920.26171875,26842.09375,,20572.806640625,,16398.244140625,,11449.912109375,,4672.8173828125,,1138.9556884765625
"World","POLES-JRC ENGAGE",381,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-2000","Emissions|CO2",40820.3125,,,,,40921.171875,37512.53515625,35177.71875,33587.50390625,31358.845703125,29001.572265625,,23447.462890625,,18992.603515625,,15366.3916015625,,10721.470703125,,6265.82080078125
"World","POLES-JRC ENGAGE",382,"ANNUAL",1,"Mt CO2/yr","ENGAGE-NPi2020-2000f","Emissions|CO2",40820.3125,,,,,40921.171875,37512.53515625,35177.71875,33587.50390625,31358.845703125,29001.572265625,,23447.462890625,,18992.603515625,,15366.3916015625,,10721.470703125,,6265.82080078125
